PARAMETER,Scenario,REGION,TECHNOLOGY,FUEL,EMISSION,MODE_OF_OPERATION,YEAR,TIMESLICE,SEASON,DAYTYPE,DAILYTIMEBRACKET,STORAGE,Value
TotalAnnualMaxCapacity,BAU,ECU,ENE_TERM,,,,2018,,,,,,
TotalAnnualMaxCapacity,BAU,ECU,ENE_TERM,,,,2019,,,,,,
TotalAnnualMaxCapacity,BAU,ECU,ENE_TERM,,,,2020,,,,,,
TotalAnnualMaxCapacity,BAU,ECU,ENE_TERM,,,,2021,,,,,,
TotalAnnualMaxCapacity,BAU,ECU,ENE_TERM,,,,2022,,,,,,
TotalAnnualMaxCapacity,BAU,ECU,ENE_TERM,,,,2023,,,,,,
TotalAnnualMaxCapacity,BAU,ECU,ENE_TERM,,,,2024,,,,,,
TotalAnnualMaxCapacity,BAU,ECU,ENE_TERM,,,,2025,,,,,,
TotalAnnualMaxCapacity,BAU,ECU,ENE_TERM,,,,2026,,,,,,
TotalAnnualMaxCapacity,BAU,ECU,ENE_TERM,,,,2027,,,,,,
TotalAnnualMaxCapacity,BAU,ECU,ENE_TERM,,,,2028,,,,,,
TotalAnnualMaxCapacity,BAU,ECU,ENE_TERM,,,,2029,,,,,,
TotalAnnualMaxCapacity,BAU,ECU,ENE_TERM,,,,2030,,,,,,
TotalAnnualMaxCapacity,BAU,ECU,ENE_TERM,,,,2031,,,,,,
TotalAnnualMaxCapacity,BAU,ECU,ENE_TERM,,,,2032,,,,,,
TotalAnnualMaxCapacity,BAU,ECU,ENE_TERM,,,,2033,,,,,,
TotalAnnualMaxCapacity,BAU,ECU,ENE_TERM,,,,2034,,,,,,
TotalAnnualMaxCapacity,BAU,ECU,ENE_TERM,,,,2035,,,,,,
TotalAnnualMaxCapacity,BAU,ECU,ENE_TERM,,,,2036,,,,,,
TotalAnnualMaxCapacity,BAU,ECU,ENE_TERM,,,,2037,,,,,,
TotalAnnualMaxCapacity,BAU,ECU,ENE_TERM,,,,2038,,,,,,
TotalAnnualMaxCapacity,BAU,ECU,ENE_TERM,,,,2039,,,,,,
TotalAnnualMaxCapacity,BAU,ECU,ENE_TERM,,,,2040,,,,,,
TotalAnnualMaxCapacity,BAU,ECU,ENE_TERM,,,,2041,,,,,,
TotalAnnualMaxCapacity,BAU,ECU,ENE_TERM,,,,2042,,,,,,
TotalAnnualMaxCapacity,BAU,ECU,ENE_TERM,,,,2043,,,,,,
TotalAnnualMaxCapacity,BAU,ECU,ENE_TERM,,,,2044,,,,,,
TotalAnnualMaxCapacity,BAU,ECU,ENE_TERM,,,,2045,,,,,,
TotalAnnualMaxCapacity,BAU,ECU,ENE_TERM,,,,2046,,,,,,
TotalAnnualMaxCapacity,BAU,ECU,ENE_TERM,,,,2047,,,,,,
TotalAnnualMaxCapacity,BAU,ECU,ENE_TERM,,,,2048,,,,,,
TotalAnnualMaxCapacity,BAU,ECU,ENE_TERM,,,,2049,,,,,,
TotalAnnualMaxCapacity,BAU,ECU,ENE_TERM,,,,2050,,,,,,
TotalAnnualMaxCapacity,BAU,ECU,ENE_TERM,,,,2051,,,,,,
TotalAnnualMaxCapacity,BAU,ECU,ENE_TERM,,,,2052,,,,,,
TotalAnnualMaxCapacity,BAU,ECU,ENE_TERM,,,,2053,,,,,,
TotalAnnualMaxCapacity,BAU,ECU,ENE_TERM,,,,2054,,,,,,
TotalAnnualMaxCapacity,BAU,ECU,ENE_TERM,,,,2055,,,,,,
TotalAnnualMaxCapacity,BAU,ECU,ENE_TERM,,,,2056,,,,,,
TotalAnnualMaxCapacity,BAU,ECU,ENE_TERM,,,,2057,,,,,,
TotalAnnualMaxCapacity,BAU,ECU,ENE_TERM,,,,2058,,,,,,
TotalAnnualMaxCapacity,BAU,ECU,ENE_TERM,,,,2059,,,,,,
TotalAnnualMaxCapacity,BAU,ECU,ENE_TERM,,,,2060,,,,,,
TotalAnnualMaxCapacity,BAU,ECU,ENE_TERM,,,,2061,,,,,,
TotalAnnualMaxCapacity,BAU,ECU,ENE_TERM,,,,2062,,,,,,
TotalAnnualMaxCapacity,BAU,ECU,ENE_TERM,,,,2063,,,,,,
TotalAnnualMaxCapacity,BAU,ECU,ENE_TERM,,,,2064,,,,,,
TotalAnnualMaxCapacity,BAU,ECU,ENE_TERM,,,,2065,,,,,,
TotalAnnualMaxCapacity,BAU,ECU,ENE_TERM,,,,2066,,,,,,
TotalAnnualMaxCapacity,BAU,ECU,ENE_TERM,,,,2067,,,,,,
TotalAnnualMaxCapacity,BAU,ECU,ENE_TERM,,,,2068,,,,,,
TotalAnnualMaxCapacity,BAU,ECU,ENE_TERM,,,,2069,,,,,,
TotalAnnualMaxCapacity,BAU,ECU,ENE_TERM,,,,2070,,,,,,
TotalAnnualMaxCapacity,BAU,ECU,RAW_MAT_CLK,,,,2018,,,,,,
TotalAnnualMaxCapacity,BAU,ECU,RAW_MAT_CLK,,,,2019,,,,,,
TotalAnnualMaxCapacity,BAU,ECU,RAW_MAT_CLK,,,,2020,,,,,,
TotalAnnualMaxCapacity,BAU,ECU,RAW_MAT_CLK,,,,2021,,,,,,
TotalAnnualMaxCapacity,BAU,ECU,RAW_MAT_CLK,,,,2022,,,,,,
TotalAnnualMaxCapacity,BAU,ECU,RAW_MAT_CLK,,,,2023,,,,,,
TotalAnnualMaxCapacity,BAU,ECU,RAW_MAT_CLK,,,,2024,,,,,,
TotalAnnualMaxCapacity,BAU,ECU,RAW_MAT_CLK,,,,2025,,,,,,
TotalAnnualMaxCapacity,BAU,ECU,RAW_MAT_CLK,,,,2026,,,,,,
TotalAnnualMaxCapacity,BAU,ECU,RAW_MAT_CLK,,,,2027,,,,,,
TotalAnnualMaxCapacity,BAU,ECU,RAW_MAT_CLK,,,,2028,,,,,,
TotalAnnualMaxCapacity,BAU,ECU,RAW_MAT_CLK,,,,2029,,,,,,
TotalAnnualMaxCapacity,BAU,ECU,RAW_MAT_CLK,,,,2030,,,,,,
TotalAnnualMaxCapacity,BAU,ECU,RAW_MAT_CLK,,,,2031,,,,,,
TotalAnnualMaxCapacity,BAU,ECU,RAW_MAT_CLK,,,,2032,,,,,,
TotalAnnualMaxCapacity,BAU,ECU,RAW_MAT_CLK,,,,2033,,,,,,
TotalAnnualMaxCapacity,BAU,ECU,RAW_MAT_CLK,,,,2034,,,,,,
TotalAnnualMaxCapacity,BAU,ECU,RAW_MAT_CLK,,,,2035,,,,,,
TotalAnnualMaxCapacity,BAU,ECU,RAW_MAT_CLK,,,,2036,,,,,,
TotalAnnualMaxCapacity,BAU,ECU,RAW_MAT_CLK,,,,2037,,,,,,
TotalAnnualMaxCapacity,BAU,ECU,RAW_MAT_CLK,,,,2038,,,,,,
TotalAnnualMaxCapacity,BAU,ECU,RAW_MAT_CLK,,,,2039,,,,,,
TotalAnnualMaxCapacity,BAU,ECU,RAW_MAT_CLK,,,,2040,,,,,,
TotalAnnualMaxCapacity,BAU,ECU,RAW_MAT_CLK,,,,2041,,,,,,
TotalAnnualMaxCapacity,BAU,ECU,RAW_MAT_CLK,,,,2042,,,,,,
TotalAnnualMaxCapacity,BAU,ECU,RAW_MAT_CLK,,,,2043,,,,,,
TotalAnnualMaxCapacity,BAU,ECU,RAW_MAT_CLK,,,,2044,,,,,,
TotalAnnualMaxCapacity,BAU,ECU,RAW_MAT_CLK,,,,2045,,,,,,
TotalAnnualMaxCapacity,BAU,ECU,RAW_MAT_CLK,,,,2046,,,,,,
TotalAnnualMaxCapacity,BAU,ECU,RAW_MAT_CLK,,,,2047,,,,,,
TotalAnnualMaxCapacity,BAU,ECU,RAW_MAT_CLK,,,,2048,,,,,,
TotalAnnualMaxCapacity,BAU,ECU,RAW_MAT_CLK,,,,2049,,,,,,
TotalAnnualMaxCapacity,BAU,ECU,RAW_MAT_CLK,,,,2050,,,,,,
TotalAnnualMaxCapacity,BAU,ECU,RAW_MAT_CLK,,,,2051,,,,,,
TotalAnnualMaxCapacity,BAU,ECU,RAW_MAT_CLK,,,,2052,,,,,,
TotalAnnualMaxCapacity,BAU,ECU,RAW_MAT_CLK,,,,2053,,,,,,
TotalAnnualMaxCapacity,BAU,ECU,RAW_MAT_CLK,,,,2054,,,,,,
TotalAnnualMaxCapacity,BAU,ECU,RAW_MAT_CLK,,,,2055,,,,,,
TotalAnnualMaxCapacity,BAU,ECU,RAW_MAT_CLK,,,,2056,,,,,,
TotalAnnualMaxCapacity,BAU,ECU,RAW_MAT_CLK,,,,2057,,,,,,
TotalAnnualMaxCapacity,BAU,ECU,RAW_MAT_CLK,,,,2058,,,,,,
TotalAnnualMaxCapacity,BAU,ECU,RAW_MAT_CLK,,,,2059,,,,,,
TotalAnnualMaxCapacity,BAU,ECU,RAW_MAT_CLK,,,,2060,,,,,,
TotalAnnualMaxCapacity,BAU,ECU,RAW_MAT_CLK,,,,2061,,,,,,
TotalAnnualMaxCapacity,BAU,ECU,RAW_MAT_CLK,,,,2062,,,,,,
TotalAnnualMaxCapacity,BAU,ECU,RAW_MAT_CLK,,,,2063,,,,,,
TotalAnnualMaxCapacity,BAU,ECU,RAW_MAT_CLK,,,,2064,,,,,,
TotalAnnualMaxCapacity,BAU,ECU,RAW_MAT_CLK,,,,2065,,,,,,
TotalAnnualMaxCapacity,BAU,ECU,RAW_MAT_CLK,,,,2066,,,,,,
TotalAnnualMaxCapacity,BAU,ECU,RAW_MAT_CLK,,,,2067,,,,,,
TotalAnnualMaxCapacity,BAU,ECU,RAW_MAT_CLK,,,,2068,,,,,,
TotalAnnualMaxCapacity,BAU,ECU,RAW_MAT_CLK,,,,2069,,,,,,
TotalAnnualMaxCapacity,BAU,ECU,RAW_MAT_CLK,,,,2070,,,,,,
TotalAnnualMaxCapacity,BAU,ECU,ELEC_TERM,,,,2018,,,,,,
TotalAnnualMaxCapacity,BAU,ECU,ELEC_TERM,,,,2019,,,,,,
TotalAnnualMaxCapacity,BAU,ECU,ELEC_TERM,,,,2020,,,,,,
TotalAnnualMaxCapacity,BAU,ECU,ELEC_TERM,,,,2021,,,,,,
TotalAnnualMaxCapacity,BAU,ECU,ELEC_TERM,,,,2022,,,,,,
TotalAnnualMaxCapacity,BAU,ECU,ELEC_TERM,,,,2023,,,,,,
TotalAnnualMaxCapacity,BAU,ECU,ELEC_TERM,,,,2024,,,,,,
TotalAnnualMaxCapacity,BAU,ECU,ELEC_TERM,,,,2025,,,,,,
TotalAnnualMaxCapacity,BAU,ECU,ELEC_TERM,,,,2026,,,,,,
TotalAnnualMaxCapacity,BAU,ECU,ELEC_TERM,,,,2027,,,,,,
TotalAnnualMaxCapacity,BAU,ECU,ELEC_TERM,,,,2028,,,,,,
TotalAnnualMaxCapacity,BAU,ECU,ELEC_TERM,,,,2029,,,,,,
TotalAnnualMaxCapacity,BAU,ECU,ELEC_TERM,,,,2030,,,,,,
TotalAnnualMaxCapacity,BAU,ECU,ELEC_TERM,,,,2031,,,,,,
TotalAnnualMaxCapacity,BAU,ECU,ELEC_TERM,,,,2032,,,,,,
TotalAnnualMaxCapacity,BAU,ECU,ELEC_TERM,,,,2033,,,,,,
TotalAnnualMaxCapacity,BAU,ECU,ELEC_TERM,,,,2034,,,,,,
TotalAnnualMaxCapacity,BAU,ECU,ELEC_TERM,,,,2035,,,,,,
TotalAnnualMaxCapacity,BAU,ECU,ELEC_TERM,,,,2036,,,,,,
TotalAnnualMaxCapacity,BAU,ECU,ELEC_TERM,,,,2037,,,,,,
TotalAnnualMaxCapacity,BAU,ECU,ELEC_TERM,,,,2038,,,,,,
TotalAnnualMaxCapacity,BAU,ECU,ELEC_TERM,,,,2039,,,,,,
TotalAnnualMaxCapacity,BAU,ECU,ELEC_TERM,,,,2040,,,,,,
TotalAnnualMaxCapacity,BAU,ECU,ELEC_TERM,,,,2041,,,,,,
TotalAnnualMaxCapacity,BAU,ECU,ELEC_TERM,,,,2042,,,,,,
TotalAnnualMaxCapacity,BAU,ECU,ELEC_TERM,,,,2043,,,,,,
TotalAnnualMaxCapacity,BAU,ECU,ELEC_TERM,,,,2044,,,,,,
TotalAnnualMaxCapacity,BAU,ECU,ELEC_TERM,,,,2045,,,,,,
TotalAnnualMaxCapacity,BAU,ECU,ELEC_TERM,,,,2046,,,,,,
TotalAnnualMaxCapacity,BAU,ECU,ELEC_TERM,,,,2047,,,,,,
TotalAnnualMaxCapacity,BAU,ECU,ELEC_TERM,,,,2048,,,,,,
TotalAnnualMaxCapacity,BAU,ECU,ELEC_TERM,,,,2049,,,,,,
TotalAnnualMaxCapacity,BAU,ECU,ELEC_TERM,,,,2050,,,,,,
TotalAnnualMaxCapacity,BAU,ECU,ELEC_TERM,,,,2051,,,,,,
TotalAnnualMaxCapacity,BAU,ECU,ELEC_TERM,,,,2052,,,,,,
TotalAnnualMaxCapacity,BAU,ECU,ELEC_TERM,,,,2053,,,,,,
TotalAnnualMaxCapacity,BAU,ECU,ELEC_TERM,,,,2054,,,,,,
TotalAnnualMaxCapacity,BAU,ECU,ELEC_TERM,,,,2055,,,,,,
TotalAnnualMaxCapacity,BAU,ECU,ELEC_TERM,,,,2056,,,,,,
TotalAnnualMaxCapacity,BAU,ECU,ELEC_TERM,,,,2057,,,,,,
TotalAnnualMaxCapacity,BAU,ECU,ELEC_TERM,,,,2058,,,,,,
TotalAnnualMaxCapacity,BAU,ECU,ELEC_TERM,,,,2059,,,,,,
TotalAnnualMaxCapacity,BAU,ECU,ELEC_TERM,,,,2060,,,,,,
TotalAnnualMaxCapacity,BAU,ECU,ELEC_TERM,,,,2061,,,,,,
TotalAnnualMaxCapacity,BAU,ECU,ELEC_TERM,,,,2062,,,,,,
TotalAnnualMaxCapacity,BAU,ECU,ELEC_TERM,,,,2063,,,,,,
TotalAnnualMaxCapacity,BAU,ECU,ELEC_TERM,,,,2064,,,,,,
TotalAnnualMaxCapacity,BAU,ECU,ELEC_TERM,,,,2065,,,,,,
TotalAnnualMaxCapacity,BAU,ECU,ELEC_TERM,,,,2066,,,,,,
TotalAnnualMaxCapacity,BAU,ECU,ELEC_TERM,,,,2067,,,,,,
TotalAnnualMaxCapacity,BAU,ECU,ELEC_TERM,,,,2068,,,,,,
TotalAnnualMaxCapacity,BAU,ECU,ELEC_TERM,,,,2069,,,,,,
TotalAnnualMaxCapacity,BAU,ECU,ELEC_TERM,,,,2070,,,,,,
TotalAnnualMaxCapacity,BAU,ECU,ELEC_CEM,,,,2018,,,,,,
TotalAnnualMaxCapacity,BAU,ECU,ELEC_CEM,,,,2019,,,,,,
TotalAnnualMaxCapacity,BAU,ECU,ELEC_CEM,,,,2020,,,,,,
TotalAnnualMaxCapacity,BAU,ECU,ELEC_CEM,,,,2021,,,,,,
TotalAnnualMaxCapacity,BAU,ECU,ELEC_CEM,,,,2022,,,,,,
TotalAnnualMaxCapacity,BAU,ECU,ELEC_CEM,,,,2023,,,,,,
TotalAnnualMaxCapacity,BAU,ECU,ELEC_CEM,,,,2024,,,,,,
TotalAnnualMaxCapacity,BAU,ECU,ELEC_CEM,,,,2025,,,,,,
TotalAnnualMaxCapacity,BAU,ECU,ELEC_CEM,,,,2026,,,,,,
TotalAnnualMaxCapacity,BAU,ECU,ELEC_CEM,,,,2027,,,,,,
TotalAnnualMaxCapacity,BAU,ECU,ELEC_CEM,,,,2028,,,,,,
TotalAnnualMaxCapacity,BAU,ECU,ELEC_CEM,,,,2029,,,,,,
TotalAnnualMaxCapacity,BAU,ECU,ELEC_CEM,,,,2030,,,,,,
TotalAnnualMaxCapacity,BAU,ECU,ELEC_CEM,,,,2031,,,,,,
TotalAnnualMaxCapacity,BAU,ECU,ELEC_CEM,,,,2032,,,,,,
TotalAnnualMaxCapacity,BAU,ECU,ELEC_CEM,,,,2033,,,,,,
TotalAnnualMaxCapacity,BAU,ECU,ELEC_CEM,,,,2034,,,,,,
TotalAnnualMaxCapacity,BAU,ECU,ELEC_CEM,,,,2035,,,,,,
TotalAnnualMaxCapacity,BAU,ECU,ELEC_CEM,,,,2036,,,,,,
TotalAnnualMaxCapacity,BAU,ECU,ELEC_CEM,,,,2037,,,,,,
TotalAnnualMaxCapacity,BAU,ECU,ELEC_CEM,,,,2038,,,,,,
TotalAnnualMaxCapacity,BAU,ECU,ELEC_CEM,,,,2039,,,,,,
TotalAnnualMaxCapacity,BAU,ECU,ELEC_CEM,,,,2040,,,,,,
TotalAnnualMaxCapacity,BAU,ECU,ELEC_CEM,,,,2041,,,,,,
TotalAnnualMaxCapacity,BAU,ECU,ELEC_CEM,,,,2042,,,,,,
TotalAnnualMaxCapacity,BAU,ECU,ELEC_CEM,,,,2043,,,,,,
TotalAnnualMaxCapacity,BAU,ECU,ELEC_CEM,,,,2044,,,,,,
TotalAnnualMaxCapacity,BAU,ECU,ELEC_CEM,,,,2045,,,,,,
TotalAnnualMaxCapacity,BAU,ECU,ELEC_CEM,,,,2046,,,,,,
TotalAnnualMaxCapacity,BAU,ECU,ELEC_CEM,,,,2047,,,,,,
TotalAnnualMaxCapacity,BAU,ECU,ELEC_CEM,,,,2048,,,,,,
TotalAnnualMaxCapacity,BAU,ECU,ELEC_CEM,,,,2049,,,,,,
TotalAnnualMaxCapacity,BAU,ECU,ELEC_CEM,,,,2050,,,,,,
TotalAnnualMaxCapacity,BAU,ECU,ELEC_CEM,,,,2051,,,,,,
TotalAnnualMaxCapacity,BAU,ECU,ELEC_CEM,,,,2052,,,,,,
TotalAnnualMaxCapacity,BAU,ECU,ELEC_CEM,,,,2053,,,,,,
TotalAnnualMaxCapacity,BAU,ECU,ELEC_CEM,,,,2054,,,,,,
TotalAnnualMaxCapacity,BAU,ECU,ELEC_CEM,,,,2055,,,,,,
TotalAnnualMaxCapacity,BAU,ECU,ELEC_CEM,,,,2056,,,,,,
TotalAnnualMaxCapacity,BAU,ECU,ELEC_CEM,,,,2057,,,,,,
TotalAnnualMaxCapacity,BAU,ECU,ELEC_CEM,,,,2058,,,,,,
TotalAnnualMaxCapacity,BAU,ECU,ELEC_CEM,,,,2059,,,,,,
TotalAnnualMaxCapacity,BAU,ECU,ELEC_CEM,,,,2060,,,,,,
TotalAnnualMaxCapacity,BAU,ECU,ELEC_CEM,,,,2061,,,,,,
TotalAnnualMaxCapacity,BAU,ECU,ELEC_CEM,,,,2062,,,,,,
TotalAnnualMaxCapacity,BAU,ECU,ELEC_CEM,,,,2063,,,,,,
TotalAnnualMaxCapacity,BAU,ECU,ELEC_CEM,,,,2064,,,,,,
TotalAnnualMaxCapacity,BAU,ECU,ELEC_CEM,,,,2065,,,,,,
TotalAnnualMaxCapacity,BAU,ECU,ELEC_CEM,,,,2066,,,,,,
TotalAnnualMaxCapacity,BAU,ECU,ELEC_CEM,,,,2067,,,,,,
TotalAnnualMaxCapacity,BAU,ECU,ELEC_CEM,,,,2068,,,,,,
TotalAnnualMaxCapacity,BAU,ECU,ELEC_CEM,,,,2069,,,,,,
TotalAnnualMaxCapacity,BAU,ECU,ELEC_CEM,,,,2070,,,,,,
TotalAnnualMaxCapacity,BAU,ECU,RAW_MAT_CEM,,,,2018,,,,,,
TotalAnnualMaxCapacity,BAU,ECU,RAW_MAT_CEM,,,,2019,,,,,,
TotalAnnualMaxCapacity,BAU,ECU,RAW_MAT_CEM,,,,2020,,,,,,
TotalAnnualMaxCapacity,BAU,ECU,RAW_MAT_CEM,,,,2021,,,,,,
TotalAnnualMaxCapacity,BAU,ECU,RAW_MAT_CEM,,,,2022,,,,,,
TotalAnnualMaxCapacity,BAU,ECU,RAW_MAT_CEM,,,,2023,,,,,,
TotalAnnualMaxCapacity,BAU,ECU,RAW_MAT_CEM,,,,2024,,,,,,
TotalAnnualMaxCapacity,BAU,ECU,RAW_MAT_CEM,,,,2025,,,,,,
TotalAnnualMaxCapacity,BAU,ECU,RAW_MAT_CEM,,,,2026,,,,,,
TotalAnnualMaxCapacity,BAU,ECU,RAW_MAT_CEM,,,,2027,,,,,,
TotalAnnualMaxCapacity,BAU,ECU,RAW_MAT_CEM,,,,2028,,,,,,
TotalAnnualMaxCapacity,BAU,ECU,RAW_MAT_CEM,,,,2029,,,,,,
TotalAnnualMaxCapacity,BAU,ECU,RAW_MAT_CEM,,,,2030,,,,,,
TotalAnnualMaxCapacity,BAU,ECU,RAW_MAT_CEM,,,,2031,,,,,,
TotalAnnualMaxCapacity,BAU,ECU,RAW_MAT_CEM,,,,2032,,,,,,
TotalAnnualMaxCapacity,BAU,ECU,RAW_MAT_CEM,,,,2033,,,,,,
TotalAnnualMaxCapacity,BAU,ECU,RAW_MAT_CEM,,,,2034,,,,,,
TotalAnnualMaxCapacity,BAU,ECU,RAW_MAT_CEM,,,,2035,,,,,,
TotalAnnualMaxCapacity,BAU,ECU,RAW_MAT_CEM,,,,2036,,,,,,
TotalAnnualMaxCapacity,BAU,ECU,RAW_MAT_CEM,,,,2037,,,,,,
TotalAnnualMaxCapacity,BAU,ECU,RAW_MAT_CEM,,,,2038,,,,,,
TotalAnnualMaxCapacity,BAU,ECU,RAW_MAT_CEM,,,,2039,,,,,,
TotalAnnualMaxCapacity,BAU,ECU,RAW_MAT_CEM,,,,2040,,,,,,
TotalAnnualMaxCapacity,BAU,ECU,RAW_MAT_CEM,,,,2041,,,,,,
TotalAnnualMaxCapacity,BAU,ECU,RAW_MAT_CEM,,,,2042,,,,,,
TotalAnnualMaxCapacity,BAU,ECU,RAW_MAT_CEM,,,,2043,,,,,,
TotalAnnualMaxCapacity,BAU,ECU,RAW_MAT_CEM,,,,2044,,,,,,
TotalAnnualMaxCapacity,BAU,ECU,RAW_MAT_CEM,,,,2045,,,,,,
TotalAnnualMaxCapacity,BAU,ECU,RAW_MAT_CEM,,,,2046,,,,,,
